Country,Continent,Population,TotalCases,TotalDeaths,Deathpercentage
Afghanistan,Asia,40462186,177827,7671,4.313743132
Albania,Europe,2872296,273870,3492,1.275057509
Algeria,Africa,45236699,265691,6874,2.587215976
Andorra,Europe,77481,40024,153,0.382270638
Angola,Africa,34654212,99194,1900,1.915438434
Anguilla,Latin America and the Caribbean,15237,2700,9,0.333333333
Antigua and Barbuda,Latin America and the Caribbean,99348,7493,135,1.801681569
Argentina,Latin America and the Caribbean,45921761,9041124,128065,1.416472111
Armenia,Asia,2972939,422574,8617,2.039169471
Aruba,Latin America and the Caribbean,107560,34051,212,0.622595518
Australia,Oceania,26017767,4680816,6384,0.136386476
Austria,Europe,9096360,3887355,15985,0.411205048
Azerbaijan,Asia,10299156,792061,9697,1.224274393
Bahamas,Latin America and the Caribbean,399822,33295,788,2.36672173
Bahrain,Asia,1804995,556241,1471,0.264453717
Bangladesh,Asia,167561502,1951770,29122,1.492081546
Barbados,Latin America and the Caribbean,287991,59938,375,0.625646501
Belarus,Europe,9443882,965322,6844,0.708986224
Belgium,Europe,11677924,3851048,30826,0.800457434
Belize,Latin America and the Caribbean,410260,57289,656,1.14507148
Benin,Africa,12678649,26952,163,0.604778866
Bermuda,Northern America,61875,12564,128,1.018783827
Bhutan,Asia,786480,31437,12,0.038171581
Bolivia,Latin America and the Caribbean,11951714,902448,21896,2.426289382
Bosnia and Herzegovina,Europe,3245097,375693,15719,4.184001299
Botswana,Africa,2434708,305526,2686,0.879139582
Brazil,Latin America and the Caribbean,215204501,29999816,660269,2.200910166
British Virgin Islands,Latin America and the Caribbean,30583,6155,62,1.007311129
Brunei ,Asia,444812,135974,213,0.156647594
Bulgaria,Europe,6856886,1140679,36568,3.205809873
Burkina Faso,Africa,21905848,20853,382,1.831870714
Burundi,Africa,12510155,38519,38,0.098652613
Cabo Verde,Africa,566557,55960,401,0.716583274
Cambodia,Asia,17123941,135747,3054,2.249773476
Cameroon,Africa,27701805,119544,1927,1.611958777
Canada,Northern America,38321435,3499226,37690,1.077095335
CAR,Africa,4976719,14649,113,0.771383712
Caribbean Netherlands,Latin America and the Caribbean,26650,8574,33,0.384884535
Cayman Islands,Latin America and the Caribbean,67073,20606,24,0.116470931
Chad,Africa,17250246,7308,191,2.613574165
Channel Islands,Europe,176668,69036,156,0.22596906
Chile,Latin America and the Caribbean,19403451,3486653,56750,1.627635443
China,Asia,1439323776,154738,4638,2.99732451
Colombia,Latin America and the Caribbean,51832231,6085926,139660,2.294802796
Comoros,Africa,902011,8093,160,1.977017175
Congo,Africa,5755689,24071,385,1.599435005
Costa Rica,Latin America and the Caribbean,5175547,839368,8308,0.98979232
Croatia,Europe,4060951,1102730,15601,1.414761546
Cuba,Latin America and the Caribbean,11314513,1092547,8514,0.779279976
Curaçao,Latin America and the Caribbean,165268,40671,267,0.656487423
Cyprus,Asia,1222745,439964,947,0.215244884
Czechia,Europe,10743762,3830631,39720,1.036904886
Denmark,Europe,5827911,2919428,5762,0.19736743
Djibouti,Africa,1013146,15590,189,1.212315587
Dominica,Latin America and the Caribbean,72299,11891,63,0.529812463
Dominican Republic,Latin America and the Caribbean,11038333,578130,4375,0.756750212
Democratic Republic of the Congo,Africa,94323344,86748,1337,1.541245908
Ecuador,Latin America and the Caribbean,18111933,859890,35421,4.119247811
Egypt,Africa,105711844,505264,24417,4.832523196
El Salvador,Latin America and the Caribbean,6543499,161570,4120,2.549978338
Equatorial Guinea,Africa,1483588,15903,183,1.150726278
Eritrea,Africa,3632329,9728,103,1.058799342
Estonia,Europe,1328097,558706,2468,0.441735009
Eswatini,Africa,1181191,69851,1394,1.995676511
Ethiopia,Africa,119945147,469819,7504,1.597210841
Faeroe Islands,Europe,49188,34237,28,0.081782866
Fiji,Oceania,907817,64422,834,1.294588805
Finland,Europe,5555788,889626,3178,0.357228768
France,Europe,65526369,25997852,142506,0.548145285
French Guiana,Latin America and the Caribbean,312224,79075,394,0.498261144
French Polynesia,Oceania,283751,72318,646,0.893276916
Gabon,Africa,2317612,47586,303,0.636741899
Gambia,Africa,2535418,11988,365,3.044711378
Georgia,Asia,3975762,1649222,16756,1.015994208
Germany,Europe,84252947,21646375,130563,0.603163347
Ghana,Africa,32207812,160971,1445,0.897677221
Gibraltar,Europe,33673,16979,101,0.594852465
Greece,Europe,10333930,3077711,27684,0.899499661
Greenland,Northern America,56942,11971,21,0.175423941
Grenada,Latin America and the Caribbean,113436,14024,218,1.554478038
Guadeloupe,Latin America and the Caribbean,400244,130705,843,0.64496385
Guatemala,Latin America and the Caribbean,18495493,830745,17325,2.085477493
Guinea,Africa,13755881,36459,440,1.206835075
Guinea-Bissau,Africa,2049374,8151,170,2.085633665
Guyana,Latin America and the Caribbean,793196,63272,1226,1.93766595
Haiti,Latin America and the Caribbean,11645833,30549,833,2.726766834
Honduras,Latin America and the Caribbean,10180299,421062,10880,2.583942507
Hong Kong,Asia,7603455,1171422,8172,0.69761367
Hungary,Europe,9617409,1854198,45510,2.454430433
Iceland,Europe,345120,181830,101,0.055546389
India,Asia,1403754381,43029044,521388,1.211711792
Indonesia,Asia,278586508,6019981,155288,2.579543025
Iran,Asia,85874667,7167646,140315,1.95761621
Iraq,Asia,41801625,2320260,25173,1.084921517
Ireland,Europe,5034333,1471210,6786,0.461252982
Isle of Man,Europe,85821,28416,84,0.295608108
Israel,Asia,9326000,3943153,10530,0.267045179
Italy,Europe,60306185,14846514,159784,1.076239176
Ivory Coast,Africa,27520953,81761,796,0.973569306
